"Details for Sum of ExtendedLineAmount - Months (ScheduledShipDate): Dec, Years (ScheduledShipDate): 2026, ItemSalesClassCode: Filling OP, ItemCode: N-4001                   (+)",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27
,,,,,,,,,,,,,,,,,,,,,,,,,,,
ScheduledShipDate,PromisedShipDate,SONumber,LineNumber,ShipToCode,ItemCode,ItemDescription,OrderQuantity,UnitPrice,ExtendedLineAmount,CustomerCode,ItemSalesClassCode,DropShip,SOTypeCode,FinalDestination,CustomerName,ShipToAddress1,ShipToAddress2,ShipToStateCode,ShipToZip,ParentDocumentNumber,Weight,OrderMessage,ShipToName,ShipToCity,ShippingInstructions,WarehouseCode,WarehouseName
2026-12-29 00:00:00,1900-01-02 00:00:00,0000064971,1,BILL      ,3849,MEDISTRIP 1/4 IN X 1.5 IN BULK NON-STERILE,1,165,165,MEDL SLOV ,MEDICAL   ,FALSE,SO,,Medline Assembly Slovakia S.R.O,Malobielicka 284/8,,..,95804          ,          ,0,,Medline Assembly Slovakia S.R.O,Partizanske,DHL EXPRESS Worldwide 954238829,PCI-01    ,"STRUKMYER, LLC"
2026-12-29 00:00:00,1900-01-02 00:00:00,0000064964,1,NORTHPT   ,6010,MEDLINE CURAD MEDISTRIP 1/2 X 4 IN STERILE NON250412,20,102,2040,MEDL      ,MEDICAL   ,FALSE,SO,,"Medline Industries, Inc.",1170 South Northpoint Blvd.,,IL,60085          ,          ,2,,Medline - SPT Division,Waukegan,,PCI-01    ,"STRUKMYER, LLC"
2026-12-29 00:00:00,1900-01-02 00:00:00,0000064960,1,LAREDO    ,610,MEDISTRIP 1 IN X 4 IN BULK,3,196.5,589.5,MEDL      ,MEDICAL   ,FALSE,SO,,"Medline Industries, Inc.",12001 General Milton Dr,,TX,78045          ,          ,4,,Medline Industries,Laredo,"This location will be inactive Effective 7/17/17. new location 12001 General Milton Dr. Laredo, TX . If customer request NDA -  use  Fedex Collect # 326382027",PCI-01    ,"STRUKMYER, LLC"
2026-12-29 00:00:00,1900-01-02 00:00:00,0000064957,1,LAREDO    ,4785,"MEDLINE 119883 10""x16"" Instrument Drape",9,160,1440,MEDL      ,MEDICAL   ,FALSE,SO,,"Medline Industries, Inc.",12001 General Milton Dr,,TX,78045          ,          ,14,,Medline Industries,Laredo,"This location will be inactive Effective 7/17/17. new location 12001 General Milton Dr. Laredo, TX . If customer request NDA -  use  Fedex Collect # 326382027",PCI-01    ,"STRUKMYER, LLC"
2026-12-29 00:00:00,1900-01-02 00:00:00,0000064953,20,C89       ,5116,MEDLINE OPTIFOAM THIN 2X3 MSC1523EP,4,63.42,253.68,MEDL      ,MEDICAL   ,FALSE,SO,,"Medline Industries, Inc.",251 Hilton Dr,,IN,47130,          ,0,,Medline Industries LP,Jeffersonville,,PCI-01    ,"STRUKMYER, LLC"
2026-12-29 00:00:00,1900-01-02 00:00:00,0000064951,30,C09       ,5117,MEDLINE OPTIFOAM THIN 4x4 MSC1544EP,11,94.6,1040.6,MEDL      ,MEDICAL   ,FALSE,SO,,"Medline Industries, Inc.",1960 W Miro Way,,CA,92376,          ,0,,Medline Industries LP,Rialto,,PCI-01    ,"STRUKMYER, LLC"
2026-12-29 00:00:00,1900-01-02 00:00:00,0000064951,20,C09       ,5116,MEDLINE OPTIFOAM THIN 2X3 MSC1523EP,10,63.42,634.2,MEDL      ,MEDICAL   ,FALSE,SO,,"Medline Industries, Inc.",1960 W Miro Way,,CA,92376,          ,0,,Medline Industries LP,Rialto,,PCI-01    ,"STRUKMYER, LLC"
2026-12-29 00:00:00,1900-01-02 00:00:00,0000064950,10,C03       ,5116,MEDLINE OPTIFOAM THIN 2X3 MSC1523EP,10,63.42,634.2,MEDL      ,MEDICAL   ,FALSE,SO,,"Medline Industries, Inc.",1500 Medline Place,,GA,30253,          ,0,,Medline Industries LP,McDonough,,PCI-01    ,"STRUKMYER, LLC"
2026-12-29 00:00:00,1900-01-02 00:00:00,0000064949,20,C46       ,5117,MEDLINE OPTIFOAM THIN 4x4 MSC1544EP,18,94.6,1702.8,MEDL      ,MEDICAL   ,FALSE,SO,,"Medline Industries, Inc.",5701 PROMONTORY PKWY,,CA,953779201,          ,0,,Medline Industries LP,TRACY,,PCI-01    ,"STRUKMYER, LLC"
2026-12-29 00:00:00,1900-01-02 00:00:00,0000064949,10,C46       ,5116,MEDLINE OPTIFOAM THIN 2X3 MSC1523EP,4,63.42,253.68,MEDL      ,MEDICAL   ,FALSE,SO,,"Medline Industries, Inc.",5701 PROMONTORY PKWY,,CA,953779201,          ,0,,Medline Industries LP,TRACY,,PCI-01    ,"STRUKMYER, LLC"
2026-12-29 00:00:00,1900-01-02 00:00:00,0000064948,10,B36       ,5117,MEDLINE OPTIFOAM THIN 4x4 MSC1544EP,1,94.6,94.6,MEDL      ,MEDICAL   ,FALSE,SO,,"Medline Industries, Inc.",1989 TRANSIT WAY,,NY,144203007,          ,0,,Medline Industries LP,BROCKPORT,,PCI-01    ,"STRUKMYER, LLC"
2026-12-29 00:00:00,1900-01-02 00:00:00,0000064946,20,C41       ,5116,MEDLINE OPTIFOAM THIN 2X3 MSC1523EP,15,63.42,951.3,MEDL      ,MEDICAL   ,FALSE,SO,,"Medline Industries, Inc.",1040 Enterprise Parkway,,OH,43162,          ,0,,Medline Industries LP,West Jefferson,,PCI-01    ,"STRUKMYER, LLC"
2026-12-29 00:00:00,1900-01-02 00:00:00,0000064943,10,C02       ,5117,MEDLINE OPTIFOAM THIN 4x4 MSC1544EP,3,94.6,283.8,MEDL      ,MEDICAL   ,FALSE,SO,,"Medline Industries, Inc.","2200 Cornerstone Pkwy, Ste 100",,IL,60030,          ,0,,Medline Industries LP,Grayslake,,PCI-01    ,"STRUKMYER, LLC"
2026-12-29 00:00:00,1900-01-02 00:00:00,0000064941,10,B51       ,5116,MEDLINE OPTIFOAM THIN 2X3 MSC1523EP,24,63.42,1522.08,MEDL      ,MEDICAL   ,FALSE,SO,,"Medline Industries, Inc.",60 Athletes Way N STE 100,,TN,37122,          ,0,,Medline Industries LP,Mount Juliet,,PCI-01    ,"STRUKMYER, LLC"
2026-12-29 00:00:00,1900-01-02 00:00:00,0000064930,2,MORENO    ,6008,"MEDLINE CURAD MEDISTRIP 1/4 X 1.5 IN, STERILE NON250114",1,71.94,71.94,MEDL      ,MEDICAL   ,FALSE,SO,,"Medline Industries, Inc.",16415 Cosmos Street,,CA,92551          ,          ,1,,Medline - SPT Division,Moreno Valley,call for dock appointment 951-296-2639 x 4237 or email yduran@medline.com,PCI-01    ,"STRUKMYER, LLC"
2026-12-29 00:00:00,1900-01-02 00:00:00,0000064930,1,MORENO    ,609,MEDISTRIP 1/4 IN X 3 IN BULK,74,119,8806,MEDL      ,MEDICAL   ,FALSE,SO,,"Medline Industries, Inc.",16415 Cosmos Street,,CA,92551          ,          ,1,,Medline - SPT Division,Moreno Valley,call for dock appointment 951-296-2639 x 4237 or email yduran@medline.com,PCI-01    ,"STRUKMYER, LLC"
2026-12-29 00:00:00,1900-01-02 00:00:00,0000064929,1,LAREDO    ,609,MEDISTRIP 1/4 IN X 3 IN BULK,8,119,952,MEDL      ,MEDICAL   ,FALSE,SO,,"Medline Industries, Inc.",12001 General Milton Dr,,TX,78045          ,          ,1,,Medline Industries,Laredo,"This location will be inactive Effective 7/17/17. new location 12001 General Milton Dr. Laredo, TX . If customer request NDA -  use  Fedex Collect # 326382027",PCI-01    ,"STRUKMYER, LLC"
2026-12-29 00:00:00,1900-01-02 00:00:00,0000064922,1,MORENO    ,609,MEDISTRIP 1/4 IN X 3 IN BULK,13,119,1547,MEDL      ,MEDICAL   ,FALSE,SO,,"Medline Industries, Inc.",16415 Cosmos Street,,CA,92551          ,          ,1,,Medline - SPT Division,Moreno Valley,call for dock appointment 951-296-2639 x 4237 or email yduran@medline.com,PCI-01    ,"STRUKMYER, LLC"
2026-12-29 00:00:00,1900-01-02 00:00:00,0000064916,1,LAREDO    ,609,MEDISTRIP 1/4 IN X 3 IN BULK,10,119,1190,MEDL      ,MEDICAL   ,FALSE,SO,,"Medline Industries, Inc.",12001 General Milton Dr,,TX,78045          ,          ,1,,Medline Industries,Laredo,"This location will be inactive Effective 7/17/17. new location 12001 General Milton Dr. Laredo, TX . If customer request NDA -  use  Fedex Collect # 326382027",PCI-01    ,"STRUKMYER, LLC"
2026-12-29 00:00:00,1900-01-02 00:00:00,0000064914,10,C89       ,5117,MEDLINE OPTIFOAM THIN 4x4 MSC1544EP,1,94.6,94.6,MEDL      ,MEDICAL   ,FALSE,SO,,"Medline Industries, Inc.",251 Hilton Dr,,IN,47130,          ,0,,Medline Industries LP,Jeffersonville,,PCI-01    ,"STRUKMYER, LLC"
2026-12-29 00:00:00,1900-01-02 00:00:00,0000064911,10,B06       ,5116,MEDLINE OPTIFOAM THIN 2X3 MSC1523EP,27,63.42,1712.34,MEDL      ,MEDICAL   ,FALSE,SO,,"Medline Industries, Inc.","1 Medline Drive, Suite 100",,TX,75172,          ,0,,Medline Industries LP,Wilmer,,PCI-01    ,"STRUKMYER, LLC"
2026-12-29 00:00:00,1900-01-02 00:00:00,0000064910,10,B48       ,5116,MEDLINE OPTIFOAM THIN 2X3 MSC1523EP,4,63.42,253.68,MEDL      ,MEDICAL   ,FALSE,SO,,"Medline Industries, Inc.",36445 Van Born Road STE 200,,MI,48174,          ,0,,Medline Industries LP,Romulus,,PCI-01    ,"STRUKMYER, LLC"
2026-12-29 00:00:00,1900-01-02 00:00:00,0000064908,20,C02       ,5117,MEDLINE OPTIFOAM THIN 4x4 MSC1544EP,3,94.6,283.8,MEDL      ,MEDICAL   ,FALSE,SO,,"Medline Industries, Inc.","2200 Cornerstone Pkwy, Ste 100",,IL,60030,          ,0,,Medline Industries LP,Grayslake,,PCI-01    ,"STRUKMYER, LLC"
2026-12-29 00:00:00,1900-01-02 00:00:00,0000064908,10,C02       ,5116,MEDLINE OPTIFOAM THIN 2X3 MSC1523EP,38,63.42,2409.96,MEDL      ,MEDICAL   ,FALSE,SO,,"Medline Industries, Inc.","2200 Cornerstone Pkwy, Ste 100",,IL,60030,          ,0,,Medline Industries LP,Grayslake,,PCI-01    ,"STRUKMYER, LLC"
2026-12-29 00:00:00,1900-01-02 00:00:00,0000064907,20,C05       ,5117,MEDLINE OPTIFOAM THIN 4x4 MSC1544EP,2,94.6,189.2,MEDL      ,MEDICAL   ,FALSE,SO,,"Medline Industries, Inc.",1062 Old Dixie Hwy,,FL,33823,          ,0,,Medline Industries LP,Auburndale,,PCI-01    ,"STRUKMYER, LLC"
2026-12-29 00:00:00,1900-01-02 00:00:00,0000064906,20,C32       ,5117,MEDLINE OPTIFOAM THIN 4x4 MSC1544EP,12,94.6,1135.2,MEDL      ,MEDICAL   ,FALSE,SO,,"Medline Industries, Inc.",29895 US HWY 90 BUS,,TX,77494,          ,0,,Medline Industries LP,Katy,,PCI-01    ,"STRUKMYER, LLC"
2026-12-29 00:00:00,1900-01-02 00:00:00,0000064905,30,C09       ,5117,MEDLINE OPTIFOAM THIN 4x4 MSC1544EP,6,94.6,567.6,MEDL      ,MEDICAL   ,FALSE,SO,,"Medline Industries, Inc.",1960 W Miro Way,,CA,92376,          ,0,,Medline Industries LP,Rialto,,PCI-01    ,"STRUKMYER, LLC"
2026-12-29 00:00:00,1900-01-02 00:00:00,0000064905,20,C09       ,5116,MEDLINE OPTIFOAM THIN 2X3 MSC1523EP,3,63.42,190.26,MEDL      ,MEDICAL   ,FALSE,SO,,"Medline Industries, Inc.",1960 W Miro Way,,CA,92376,          ,0,,Medline Industries LP,Rialto,,PCI-01    ,"STRUKMYER, LLC"
2026-12-29 00:00:00,1900-01-02 00:00:00,0000064903,10,C46       ,5117,MEDLINE OPTIFOAM THIN 4x4 MSC1544EP,2,94.6,189.2,MEDL      ,MEDICAL   ,FALSE,SO,,"Medline Industries, Inc.",5701 PROMONTORY PKWY,,CA,953779201,          ,0,,Medline Industries LP,TRACY,,PCI-01    ,"STRUKMYER, LLC"
2026-12-29 00:00:00,1900-01-02 00:00:00,0000064902,5,BILL      ,3853,MEDISTRIP 1 IN X 4 IN BULK NON-STERILE,6,196.5,1179,MEDL SLOV ,MEDICAL   ,FALSE,SO,,Medline Assembly Slovakia S.R.O,Malobielicka 284/8,,..,95804          ,          ,0,,Medline Assembly Slovakia S.R.O,Partizanske,DHL EXPRESS Worldwide 954238829,PCI-01    ,"STRUKMYER, LLC"
2026-12-29 00:00:00,1900-01-02 00:00:00,0000064902,4,BILL      ,3852,MEDISTRIP 1/4 IN X 3 IN BULK NON-STERILE,4,119,476,MEDL SLOV ,MEDICAL   ,FALSE,SO,,Medline Assembly Slovakia S.R.O,Malobielicka 284/8,,..,95804          ,          ,0,,Medline Assembly Slovakia S.R.O,Partizanske,DHL EXPRESS Worldwide 954238829,PCI-01    ,"STRUKMYER, LLC"
2026-12-29 00:00:00,1900-01-02 00:00:00,0000064902,3,BILL      ,3851,MEDISTRIP 1/4 IN X 4 IN BULK NON-STERILE 5/CD,2,195,390,MEDL SLOV ,MEDICAL   ,FALSE,SO,,Medline Assembly Slovakia S.R.O,Malobielicka 284/8,,..,95804          ,          ,0,,Medline Assembly Slovakia S.R.O,Partizanske,DHL EXPRESS Worldwide 954238829,PCI-01    ,"STRUKMYER, LLC"
2026-12-29 00:00:00,1900-01-02 00:00:00,0000064902,2,BILL      ,3850,MEDISTRIP 1/2 IN X 4 IN BULK NONSTERILE 3/CD,4,1943,7772,MEDL SLOV ,MEDICAL   ,FALSE,SO,,Medline Assembly Slovakia S.R.O,Malobielicka 284/8,,..,95804          ,          ,0,,Medline Assembly Slovakia S.R.O,Partizanske,DHL EXPRESS Worldwide 954238829,PCI-01    ,"STRUKMYER, LLC"
2026-12-29 00:00:00,1900-01-02 00:00:00,0000064902,1,BILL      ,3849,MEDISTRIP 1/4 IN X 1.5 IN BULK NON-STERILE,2,165,330,MEDL SLOV ,MEDICAL   ,FALSE,SO,,Medline Assembly Slovakia S.R.O,Malobielicka 284/8,,..,95804          ,          ,0,,Medline Assembly Slovakia S.R.O,Partizanske,DHL EXPRESS Worldwide 954238829,PCI-01    ,"STRUKMYER, LLC"
2026-12-29 00:00:00,1900-01-02 00:00:00,0000064897,1,NORTHPT   ,4785,"MEDLINE 119883 10""x16"" Instrument Drape",1,160,160,MEDL      ,MEDICAL   ,FALSE,SO,,"Medline Industries, Inc.",1170 South Northpoint Blvd.,,IL,60085          ,          ,14,,Medline - SPT Division,Waukegan,,PCI-01    ,"STRUKMYER, LLC"
2026-12-29 00:00:00,1900-01-02 00:00:00,0000064896,1,LAREDO    ,606,MEDISTRIP 1/8 IN X 3 IN BULK,1,193.8,193.8,MEDL      ,MEDICAL   ,FALSE,SO,,"Medline Industries, Inc.",12001 General Milton Dr,,TX,78045          ,          ,0,,Medline Industries,Laredo,"This location will be inactive Effective 7/17/17. new location 12001 General Milton Dr. Laredo, TX . If customer request NDA -  use  Fedex Collect # 326382027",PCI-01    ,"STRUKMYER, LLC"
2026-12-29 00:00:00,1900-01-02 00:00:00,0000064895,1,LAREDO    ,5117,MEDLINE OPTIFOAM THIN 4x4 MSC1544EP,3,94.6,283.8,MEDL      ,MEDICAL   ,FALSE,SO,,"Medline Industries, Inc.",12001 General Milton Dr,,TX,78045          ,          ,0,,Medline Industries,Laredo,"This location will be inactive Effective 7/17/17. new location 12001 General Milton Dr. Laredo, TX . If customer request NDA -  use  Fedex Collect # 326382027",PCI-01    ,"STRUKMYER, LLC"
2026-12-29 00:00:00,1900-01-02 00:00:00,0000064890,3,FRANCE    ,3852,MEDISTRIP 1/4 IN X 3 IN BULK NON-STERILE,1,119,119,MEDL EURO ,MEDICAL   ,FALSE,SO,,Medline Assembly France SAS,Rue du President Kennedy,,..,44110          ,          ,0,,Medline Assembly France SAS,Chateaubriant,DHL EXPRESS WORLDWIDE 956478111.. ****Warehouse is opened from 5am to 1pm,PCI-01    ,"STRUKMYER, LLC"
2026-12-29 00:00:00,1900-01-02 00:00:00,0000064890,2,FRANCE    ,3851,MEDISTRIP 1/4 IN X 4 IN BULK NON-STERILE 5/CD,4,195,780,MEDL EURO ,MEDICAL   ,FALSE,SO,,Medline Assembly France SAS,Rue du President Kennedy,,..,44110          ,          ,0,,Medline Assembly France SAS,Chateaubriant,DHL EXPRESS WORLDWIDE 956478111.. ****Warehouse is opened from 5am to 1pm,PCI-01    ,"STRUKMYER, LLC"
2026-12-29 00:00:00,1900-01-02 00:00:00,0000064890,1,FRANCE    ,3850,MEDISTRIP 1/2 IN X 4 IN BULK NONSTERILE 3/CD,2,1943,3886,MEDL EURO ,MEDICAL   ,FALSE,SO,,Medline Assembly France SAS,Rue du President Kennedy,,..,44110          ,          ,0,,Medline Assembly France SAS,Chateaubriant,DHL EXPRESS WORLDWIDE 956478111.. ****Warehouse is opened from 5am to 1pm,PCI-01    ,"STRUKMYER, LLC"
2026-12-29 00:00:00,1900-01-02 00:00:00,0000064872,1,LAREDO    ,609,MEDISTRIP 1/4 IN X 3 IN BULK,8,119,952,MEDL      ,MEDICAL   ,FALSE,SO,,"Medline Industries, Inc.",12001 General Milton Dr,,TX,78045          ,          ,1,,Medline Industries,Laredo,"This location will be inactive Effective 7/17/17. new location 12001 General Milton Dr. Laredo, TX . If customer request NDA -  use  Fedex Collect # 326382027",PCI-01    ,"STRUKMYER, LLC"
2026-12-29 00:00:00,1900-01-02 00:00:00,0000064871,1,LAREDO    ,5117,MEDLINE OPTIFOAM THIN 4x4 MSC1544EP,3,94.6,283.8,MEDL      ,MEDICAL   ,FALSE,SO,,"Medline Industries, Inc.",12001 General Milton Dr,,TX,78045          ,          ,0,,Medline Industries,Laredo,"This location will be inactive Effective 7/17/17. new location 12001 General Milton Dr. Laredo, TX . If customer request NDA -  use  Fedex Collect # 326382027",PCI-01    ,"STRUKMYER, LLC"
2026-12-29 00:00:00,1900-01-02 00:00:00,0000064868,20,C47       ,5117,MEDLINE OPTIFOAM THIN 4x4 MSC1544EP,7,94.6,662.2,MEDL      ,MEDICAL   ,FALSE,SO,,"Medline Industries, Inc.",239 Belvidere Rd,,MD,21903,          ,0,,Medline Industries LP,Perryville,,PCI-01    ,"STRUKMYER, LLC"
2026-12-29 00:00:00,1900-01-02 00:00:00,0000064867,20,C09       ,5117,MEDLINE OPTIFOAM THIN 4x4 MSC1544EP,10,94.6,946,MEDL      ,MEDICAL   ,FALSE,SO,,"Medline Industries, Inc.",1960 W Miro Way,,CA,92376,          ,0,,Medline Industries LP,Rialto,,PCI-01    ,"STRUKMYER, LLC"
2026-12-29 00:00:00,1900-01-02 00:00:00,0000064864,20,B48       ,5116,MEDLINE OPTIFOAM THIN 2X3 MSC1523EP,5,63.42,317.1,MEDL      ,MEDICAL   ,FALSE,SO,,"Medline Industries, Inc.",36445 Van Born Road STE 200,,MI,48174,          ,0,,Medline Industries LP,Romulus,,PCI-01    ,"STRUKMYER, LLC"
2026-12-29 00:00:00,1900-01-02 00:00:00,0000064863,20,C46       ,5117,MEDLINE OPTIFOAM THIN 4x4 MSC1544EP,9,94.6,851.4,MEDL      ,MEDICAL   ,FALSE,SO,,"Medline Industries, Inc.",5701 PROMONTORY PKWY,,CA,953779201,          ,0,,Medline Industries LP,TRACY,,PCI-01    ,"STRUKMYER, LLC"
2026-12-29 00:00:00,1900-01-02 00:00:00,0000064862,20,C50       ,5117,MEDLINE OPTIFOAM THIN 4x4 MSC1544EP,6,94.6,567.6,MEDL      ,MEDICAL   ,FALSE,SO,,"Medline Industries, Inc.",8787 W BUCKEYE RD,,AZ,853539399,          ,0,,Medline Industries LP,TOLLESON,,PCI-01    ,"STRUKMYER, LLC"
2026-12-29 00:00:00,1900-01-02 00:00:00,0000064861,20,C89       ,5117,MEDLINE OPTIFOAM THIN 4x4 MSC1544EP,8,94.6,756.8,MEDL      ,MEDICAL   ,FALSE,SO,,"Medline Industries, Inc.",251 Hilton Dr,,IN,47130,          ,0,,Medline Industries LP,Jeffersonville,,PCI-01    ,"STRUKMYER, LLC"
2026-12-29 00:00:00,1900-01-02 00:00:00,0000064859,20,B06       ,5117,MEDLINE OPTIFOAM THIN 4x4 MSC1544EP,1,94.6,94.6,MEDL      ,MEDICAL   ,FALSE,SO,,"Medline Industries, Inc.","1 Medline Drive, Suite 100",,TX,75172,          ,0,,Medline Industries LP,Wilmer,,PCI-01    ,"STRUKMYER, LLC"
2026-12-29 00:00:00,1900-01-02 00:00:00,0000064859,10,B06       ,5116,MEDLINE OPTIFOAM THIN 2X3 MSC1523EP,3,63.42,190.26,MEDL      ,MEDICAL   ,FALSE,SO,,"Medline Industries, Inc.","1 Medline Drive, Suite 100",,TX,75172,          ,0,,Medline Industries LP,Wilmer,,PCI-01    ,"STRUKMYER, LLC"
2026-12-29 00:00:00,1900-01-02 00:00:00,0000064856,10,C02       ,5116,MEDLINE OPTIFOAM THIN 2X3 MSC1523EP,2,63.42,126.84,MEDL      ,MEDICAL   ,FALSE,SO,,"Medline Industries, Inc.","2200 Cornerstone Pkwy, Ste 100",,IL,60030,          ,0,,Medline Industries LP,Grayslake,,PCI-01    ,"STRUKMYER, LLC"
2026-12-29 00:00:00,1900-01-02 00:00:00,0000064855,10,B06       ,5116,MEDLINE OPTIFOAM THIN 2X3 MSC1523EP,1,63.42,63.42,MEDL      ,MEDICAL   ,FALSE,SO,,"Medline Industries, Inc.","1 Medline Drive, Suite 100",,TX,75172,          ,0,,Medline Industries LP,Wilmer,,PCI-01    ,"STRUKMYER, LLC"
2026-12-29 00:00:00,1900-01-02 00:00:00,0000064851,1,MORENO    ,4785,"MEDLINE 119883 10""x16"" Instrument Drape",46,160,7360,MEDL      ,MEDICAL   ,FALSE,SO,,"Medline Industries, Inc.",16415 Cosmos Street,,CA,92551          ,          ,14,,Medline - SPT Division,Moreno Valley,call for dock appointment 951-296-2639 x 4237 or email yduran@medline.com,PCI-01    ,"STRUKMYER, LLC"
2026-12-29 00:00:00,2026-12-29 00:00:00,0000064850,2,NORTHPT   ,609,MEDISTRIP 1/4 IN X 3 IN BULK,1,119,119,MEDL      ,MEDICAL   ,FALSE,SO,,"Medline Industries, Inc.",1170 South Northpoint Blvd.,,IL,60085          ,          ,1,,Medline - SPT Division,Waukegan,,PCI-01    ,"STRUKMYER, LLC"
2026-12-29 00:00:00,1900-01-02 00:00:00,0000064849,2,LAREDO    ,6013,MEDLINE CURAD MEDI STRIP 1 X 5 NON250501,11,123,1353,MEDL      ,MEDICAL   ,FALSE,SO,,"Medline Industries, Inc.",12001 General Milton Dr,,TX,78045          ,          ,0,,Medline Industries,Laredo,"This location will be inactive Effective 7/17/17. new location 12001 General Milton Dr. Laredo, TX . If customer request NDA -  use  Fedex Collect # 326382027",PCI-01    ,"STRUKMYER, LLC"
2026-12-29 00:00:00,1900-01-02 00:00:00,0000064849,1,LAREDO    ,5117,MEDLINE OPTIFOAM THIN 4x4 MSC1544EP,3,94.6,283.8,MEDL      ,MEDICAL   ,FALSE,SO,,"Medline Industries, Inc.",12001 General Milton Dr,,TX,78045          ,          ,0,,Medline Industries,Laredo,"This location will be inactive Effective 7/17/17. new location 12001 General Milton Dr. Laredo, TX . If customer request NDA -  use  Fedex Collect # 326382027",PCI-01    ,"STRUKMYER, LLC"
2026-12-29 00:00:00,1900-01-02 00:00:00,0000064848,1,LAREDO    ,4785,"MEDLINE 119883 10""x16"" Instrument Drape",10,160,1600,MEDL      ,MEDICAL   ,FALSE,SO,,"Medline Industries, Inc.",12001 General Milton Dr,,TX,78045          ,          ,14,,Medline Industries,Laredo,"This location will be inactive Effective 7/17/17. new location 12001 General Milton Dr. Laredo, TX . If customer request NDA -  use  Fedex Collect # 326382027",PCI-01    ,"STRUKMYER, LLC"
2026-12-29 00:00:00,1900-01-02 00:00:00,0000064845,4,BILL      ,3853,MEDISTRIP 1 IN X 4 IN BULK NON-STERILE,2,196.5,393,MEDL SLOV ,MEDICAL   ,FALSE,SO,,Medline Assembly Slovakia S.R.O,Malobielicka 284/8,,..,95804          ,          ,0,,Medline Assembly Slovakia S.R.O,Partizanske,DHL EXPRESS Worldwide 954238829,PCI-01    ,"STRUKMYER, LLC"
2026-12-29 00:00:00,1900-01-02 00:00:00,0000064845,3,BILL      ,3851,MEDISTRIP 1/4 IN X 4 IN BULK NON-STERILE 5/CD,2,195,390,MEDL SLOV ,MEDICAL   ,FALSE,SO,,Medline Assembly Slovakia S.R.O,Malobielicka 284/8,,..,95804          ,          ,0,,Medline Assembly Slovakia S.R.O,Partizanske,DHL EXPRESS Worldwide 954238829,PCI-01    ,"STRUKMYER, LLC"
2026-12-29 00:00:00,1900-01-02 00:00:00,0000064845,2,BILL      ,3850,MEDISTRIP 1/2 IN X 4 IN BULK NONSTERILE 3/CD,2,1943,3886,MEDL SLOV ,MEDICAL   ,FALSE,SO,,Medline Assembly Slovakia S.R.O,Malobielicka 284/8,,..,95804          ,          ,0,,Medline Assembly Slovakia S.R.O,Partizanske,DHL EXPRESS Worldwide 954238829,PCI-01    ,"STRUKMYER, LLC"
2026-12-29 00:00:00,1900-01-02 00:00:00,0000064845,1,BILL      ,3849,MEDISTRIP 1/4 IN X 1.5 IN BULK NON-STERILE,5,165,825,MEDL SLOV ,MEDICAL   ,FALSE,SO,,Medline Assembly Slovakia S.R.O,Malobielicka 284/8,,..,95804          ,          ,0,,Medline Assembly Slovakia S.R.O,Partizanske,DHL EXPRESS Worldwide 954238829,PCI-01    ,"STRUKMYER, LLC"
2026-12-29 00:00:00,1900-01-02 00:00:00,0000064844,1,MORENO    ,6013,MEDLINE CURAD MEDI STRIP 1 X 5 NON250501,6,123,738,MEDL      ,MEDICAL   ,FALSE,SO,,"Medline Industries, Inc.",16415 Cosmos Street,,CA,92551          ,          ,0,,Medline - SPT Division,Moreno Valley,call for dock appointment 951-296-2639 x 4237 or email yduran@medline.com,PCI-01    ,"STRUKMYER, LLC"
2026-12-29 00:00:00,1900-01-02 00:00:00,0000064842,1,NORTHPT   ,4785,"MEDLINE 119883 10""x16"" Instrument Drape",1,160,160,MEDL      ,MEDICAL   ,FALSE,SO,,"Medline Industries, Inc.",1170 South Northpoint Blvd.,,IL,60085          ,          ,14,,Medline - SPT Division,Waukegan,,PCI-01    ,"STRUKMYER, LLC"
2026-12-29 00:00:00,1900-01-02 00:00:00,0000064841,1,LAREDO    ,610,MEDISTRIP 1 IN X 4 IN BULK,3,196.5,589.5,MEDL      ,MEDICAL   ,FALSE,SO,,"Medline Industries, Inc.",12001 General Milton Dr,,TX,78045          ,          ,4,,Medline Industries,Laredo,"This location will be inactive Effective 7/17/17. new location 12001 General Milton Dr. Laredo, TX . If customer request NDA -  use  Fedex Collect # 326382027",PCI-01    ,"STRUKMYER, LLC"
2026-12-29 00:00:00,1900-01-02 00:00:00,0000064840,1,LAREDO    ,609,MEDISTRIP 1/4 IN X 3 IN BULK,10,119,1190,MEDL      ,MEDICAL   ,FALSE,SO,,"Medline Industries, Inc.",12001 General Milton Dr,,TX,78045          ,          ,1,,Medline Industries,Laredo,"This location will be inactive Effective 7/17/17. new location 12001 General Milton Dr. Laredo, TX . If customer request NDA -  use  Fedex Collect # 326382027",PCI-01    ,"STRUKMYER, LLC"
